
福建卫视,#genre#
CCTV-16,http://171.88.65.61:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV-16-4K,http://171.88.65.61:35455/itv/5000000008000023254.m3u8?cdn=bestzb
CCTV-17,http://171.88.65.61:35455/itv/1000000006000268004.m3u8?cdn=ystenlive
CCTV-17,http://171.88.65.61:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
CGTN,http://171.88.65.61:35455/itv/7745129417417101820.m3u8?cdn=hnbblive
CGTN-记录,http://171.88.65.61:35455/itv/7114647837765104058.m3u8?cdn=hnbblive
中国教育电视台-1,http://171.88.65.61:35455/itv/5000000002000002652.m3u8?cdn=bestzb
中国教育电视台-4,http://171.88.65.61:35455/itv/5000000011000031126.m3u8?cdn=bestzb
北京卫视,http://171.88.65.61:35455/itv/6000000001000020451.m3u8?cdn=wasusyt
北京卫视,http://171.88.65.61:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
北京纪实科教,http://171.88.65.61:35455/itv/1000000001000001910.m3u8?cdn=ystenlive
北京纪实科教,http://171.88.65.61:35455/itv/1000000005000265020.m3u8?cdn=ystenlive
北京卡酷少儿,http://171.88.65.61:35455/itv/5000000011000265008.m3u8?cdn=bestzb
安徽卫视,http://171.88.65.61:35455/itv/1000000001000030159.m3u8?cdn=ystenlive
安徽卫视,http://171.88.65.61:35455/itv/6000000001000009954.m3u8?cdn=wasusyt
安徽卫视,http://171.88.65.61:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
东南卫视,http://171.88.65.61:35455/itv/5000000004000010584.m3u8?cdn=bestzb
东南卫视,http://171.88.65.61:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
甘肃卫视,http://171.88.65.61:35455/itv/5000000011000031121.m3u8?cdn=bestzb
广东卫视,http://171.88.65.61:35455/itv/1000000001000014176.m3u8?cdn=ystenlive
广东卫视,http://171.88.65.61:35455/itv/6000000001000031076.m3u8?cdn=wasusyt
广东卫视,http://171.88.65.61:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
广西卫视,http://171.88.65.61:35455/itv/5000000011000031118.m3u8?cdn=bestzb
贵州卫视,http://171.88.65.61:35455/itv/5000000004000025843.m3u8?cdn=bestzb
海南卫视,http://171.88.65.61:35455/itv/5000000004000006211.m3u8?cdn=bestzb
河北卫视,http://171.88.65.61:35455/itv/5000000006000040016.m3u8?cdn=bestzb
河南卫视,http://171.88.65.61:35455/itv/5000000011000031119.m3u8?cdn=bestzb
黑龙江卫视,http://171.88.65.61:35455/itv/1000000001000001925.m3u8?cdn=ystenlive
黑龙江卫视,http://171.88.65.61:35455/itv/6000000001000016510.m3u8?cdn=wasusyt
黑龙江卫视,http://171.88.65.61:35455/itv/1000000005000265029.m3u8?cdn=ystenlive
湖北卫视,http://171.88.65.61:35455/itv/1000000001000024621.m3u8?cdn=ystenlive
湖北卫视,http://171.88.65.61:35455/itv/6000000001000015436.m3u8?cdn=wasusyt
湖北卫视,http://171.88.65.61:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
湖南卫视,http://171.88.65.61:35455/itv/5000000004000006692.m3u8?cdn=bestzb
湖南卫视,http://171.88.65.61:35455/itv/6000000001000018044.m3u8?cdn=wasusyt
湖南卫视,http://171.88.65.61:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
湖南金鹰纪实,http://171.88.65.61:35455/itv/5000000011000031203.m3u8?cdn=bestzb
湖南快乐垂钓,http://171.88.65.61:35455/itv/5000000011000031206.m3u8?cdn=bestzb
湖南茶频道,http://171.88.65.61:35455/itv/5000000011000031209.m3u8?cdn=bestzb
吉林卫视,http://171.88.65.61:35455/itv/5000000011000031117.m3u8?cdn=bestzb
江苏卫视,http://171.88.65.61:35455/itv/6000000001000014861.m3u8?cdn=wasusyt
江苏卫视,http://171.88.65.61:35455/itv/1000000001000001828.m3u8?cdn=ystenlive
江苏卫视,http://171.88.65.61:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
江西卫视,http://171.88.65.61:35455/itv/1000000006000268001.m3u8?cdn=ystenlive
江西卫视,http://171.88.65.61:35455/itv/1000000005000265032.m3u8?cdn=ystenlive
辽宁卫视,http://171.88.65.61:35455/itv/5000000004000011671.m3u8?cdn=bestzb
辽宁卫视,http://171.88.65.61:35455/itv/1000000005000265022.m3u8?cdn=ystenlive
青海卫视,http://171.88.65.61:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
山东卫视,http://171.88.65.61:35455/itv/1000000001000016568.m3u8?cdn=ystenlive
山东卫视,http://171.88.65.61:35455/itv/6000000001000004134.m3u8?cdn=wasusyt
山东卫视,http://171.88.65.61:35455/itv/1000000005000265019.m3u8?cdn=ystenlive
上海东方卫视,http://171.88.65.61:35455/itv/6000000001000003639.m3u8?cdn=wasusyt
上海东方卫视,http://171.88.65.61:35455/itv/5000000004000014098.m3u8?cdn=bestzb
上海东方卫视,http://171.88.65.61:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
上海-ICS-外语,http://171.88.65.61:35455/itv/5000000010000030951.m3u8?cdn=bestzb
上海第一财经,http://171.88.65.61:35455/itv/5000000010000027146.m3u8?cdn=bestzb
上海东方财经,http://171.88.65.61:35455/itv/5000000007000010003.m3u8?cdn=bestzb
上海东方影视,http://171.88.65.61:35455/itv/5000000010000032212.m3u8?cdn=bestzb
上海都市,http://171.88.65.61:35455/itv/5000000010000018926.m3u8?cdn=bestzb
上海法治天地,http://171.88.65.61:35455/itv/2000000002000000014.m3u8?cdn=hnbblive
上海哈哈炫动,http://171.88.65.61:35455/itv/5000000011000031123.m3u8?cdn=bestzb
上海纪实人文,http://171.88.65.61:35455/itv/5000000004000010282.m3u8?cdn=bestzb
上海纪实人文,http://171.88.65.61:35455/itv/1000000005000265021.m3u8?cdn=ystenlive
上海五星体育,http://171.88.65.61:35455/itv/5000000010000017540.m3u8?cdn=bestzb
上海新闻综合,http://171.88.65.61:35455/itv/5000000011000031110.m3u8?cdn=bestzb
深圳卫视,http://171.88.65.61:35455/itv/5000000004000007410.m3u8?cdn=bestzb
深圳卫视,http://171.88.65.61:35455/itv/6000000001000002116.m3u8?cdn=wasusyt
深圳卫视,http://171.88.65.61:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
四川卫视,http://171.88.65.61:35455/itv/5000000004000006119.m3u8?cdn=bestzb
天津卫视,http://171.88.65.61:35455/itv/5000000004000006827.m3u8?cdn=bestzb
天津卫视,http://171.88.65.61:35455/itv/6000000001000009186.m3u8?cdn=wasusyt
天津卫视,http://171.88.65.61:35455/itv/1000000005000265026.m3u8?cdn=ystenlive
云南卫视,http://171.88.65.61:35455/itv/5000000011000031120.m3u8?cdn=bestzb
浙江卫视,http://171.88.65.61:35455/itv/5000000004000007275.m3u8?cdn=bestzb
浙江卫视,http://171.88.65.61:35455/itv/1000000001000014260.m3u8?cdn=ystenlive
浙江卫视,http://171.88.65.61:35455/itv/1000000005000265031.m3u8?cdn=ystenlive
重庆卫视,http://171.88.65.61:35455/itv/1000000001000001096.m3u8?cdn=ystenlive
重庆卫视,http://171.88.65.61:35455/itv/1000000005000265017.m3u8?cdn=ystenlive
华数-4K,http://171.88.65.61:35455/itv/6000000003000004748.m3u8?cdn=wasusyt
纯享-4K,http://171.88.65.61:35455/itv/1000000004000011651.m3u8?cdn=ystenlive
咪咕全民热练,http://171.88.65.61:35455/itv/3000000020000031315.m3u8?cdn=FifastbLive
求索动物,http://171.88.65.61:35455/itv/6000000002000010046.m3u8?cdn=wasusyt
求索纪录,http://171.88.65.61:35455/itv/6000000002000032052.m3u8?cdn=wasusyt
求索科学,http://171.88.65.61:35455/itv/6000000002000032344.m3u8?cdn=wasusyt
求索生活,http://171.88.65.61:35455/itv/6000000002000003382.m3u8?cdn=wasusyt
NewTV-精品综合,http://171.88.65.61:35455/itv/1000000004000019008.m3u8?cdn=ystenlive
NewTV-精品大剧,http://171.88.65.61:35455/itv/1000000004000013968.m3u8?cdn=ystenlive
NewTV-精品纪录,http://171.88.65.61:35455/itv/1000000004000013730.m3u8?cdn=ystenlive
NewTV-精品体育,http://171.88.65.61:35455/itv/1000000004000014634.m3u8?cdn=ystenlive
NewTV-精品萌宠,http://171.88.65.61:35455/itv/1000000006000032328.m3u8?cdn=ystenlive
NewTV-爱情喜剧,http://171.88.65.61:35455/itv/2000000003000000010.m3u8?cdn=hnbblive
NewTV-超级电视剧,http://171.88.65.61:35455/itv/1000000006000268003.m3u8?cdn=ystenlive
NewTV-超级电影,http://171.88.65.61:35455/itv/1000000003000012426.m3u8?cdn=ystenlive
NewTV-超级体育,http://171.88.65.61:35455/itv/1000000001000009601.m3u8?cdn=ystenlive
NewTV-超级综艺,http://171.88.65.61:35455/itv/1000000006000268002.m3u8?cdn=ystenlive
NewTV-潮妈辣婆,http://171.88.65.61:35455/itv/2000000003000000018.m3u8?cdn=hnbblive
NewTV-东北热剧,http://171.88.65.61:35455/itv/1000000005000266013.m3u8?cdn=ystenlive
NewTV-动作电影,http://171.88.65.61:35455/itv/1000000004000018653.m3u8?cdn=ystenlive
NewTV-古装剧场,http://171.88.65.61:35455/itv/2000000003000000024.m3u8?cdn=hnbblive
NewTV-欢乐剧场,http://171.88.65.61:35455/itv/1000000005000266012.m3u8?cdn=ystenlive
NewTV-家庭剧场,http://171.88.65.61:35455/itv/1000000004000008284.m3u8?cdn=ystenlive
NewTV-金牌综艺,http://171.88.65.61:35455/itv/1000000004000026167.m3u8?cdn=ystenlive
NewTV-惊悚悬疑,http://171.88.65.61:35455/itv/1000000004000024282.m3u8?cdn=ystenlive
NewTV-军旅剧场,http://171.88.65.61:35455/itv/2000000003000000014.m3u8?cdn=hnbblive
NewTV-军事评论,http://171.88.65.61:35455/itv/2000000003000000022.m3u8?cdn=hnbblive
NewTV-魅力潇湘,http://171.88.65.61:35455/itv/1000000001000006197.m3u8?cdn=ystenlive
NewTV-明星大片,http://171.88.65.61:35455/itv/2000000003000000016.m3u8?cdn=hnbblive
NewTV-农业致富,http://171.88.65.61:35455/itv/2000000003000000003.m3u8?cdn=hnbblive
NewTV-武博世界,http://171.88.65.61:35455/itv/2000000003000000007.m3u8?cdn=hnbblive
NewTV-炫舞未来,http://171.88.65.61:35455/itv/1000000001000000515.m3u8?cdn=ystenlive
NewTV-怡伴健康,http://171.88.65.61:35455/itv/1000000005000266011.m3u8?cdn=ystenlive
NewTV-中国功夫,http://171.88.65.61:35455/itv/2000000003000000009.m3u8?cdn=hnbblive
NewTV-黑莓电影,http://171.88.65.61:35455/itv/1000000004000019624.m3u8?cdn=ystenlive
NewTV-黑莓动画,http://171.88.65.61:35455/itv/1000000004000021734.m3u8?cdn=ystenlive
NewTV-哒啵电竞,http://171.88.65.61:35455/itv/1000000006000032327.m3u8?cdn=ystenlive
NewTV-哒啵赛事,http://171.88.65.61:35455/itv/1000000001000003775.m3u8?cdn=ystenlive
SiTV-动漫秀场,http://171.88.65.61:35455/itv/5000000011000031113.m3u8?cdn=bestzb
SiTV-都市剧场,http://171.88.65.61:35455/itv/5000000011000031111.m3u8?cdn=bestzb
SiTV-法治天地,http://171.88.65.61:35455/itv/9001547084732463424.m3u8?cdn=bestzb
SiTV-欢笑剧场,http://171.88.65.61:35455/itv/5000000002000009455.m3u8?cdn=bestzb
SiTV-欢笑剧场-4K,http://171.88.65.61:35455/itv/5000000007000010001.m3u8?cdn=bestzb
SiTV-金色学堂,http://171.88.65.61:35455/itv/5000000010000026105.m3u8?cdn=bestzb
SiTV-劲爆体育,http://171.88.65.61:35455/itv/5000000002000029972.m3u8?cdn=bestzb
SiTV-乐游,http://171.88.65.61:35455/itv/5000000011000031112.m3u8?cdn=bestzb
SiTV-魅力足球,http://171.88.65.61:35455/itv/5000000011000031207.m3u8?cdn=bestzb
SiTV-七彩戏剧,http://171.88.65.61:35455/itv/5000000011000031116.m3u8?cdn=bestzb
SiTV-生活时尚,http://171.88.65.61:35455/itv/5000000002000019634.m3u8?cdn=bestzb
SiTV-游戏风云,http://171.88.65.61:35455/itv/5000000011000031114.m3u8?cdn=bestzb
iHOT-爱谍战,http://171.88.65.61:35455/itv/6000000006000070630.m3u8?cdn=wasusyt
iHOT-爱动漫,http://171.88.65.61:35455/itv/6000000006000280630.m3u8?cdn=wasusyt
iHOT-爱科幻,http://171.88.65.61:35455/itv/6000000006000020630.m3u8?cdn=wasusyt
iHOT-爱科学,http://171.88.65.61:35455/itv/6000000006000160630.m3u8?cdn=wasusyt
iHOT-爱浪漫,http://171.88.65.61:35455/itv/6000000006000040630.m3u8?cdn=wasusyt
iHOT-爱历史,http://171.88.65.61:35455/itv/6000000006000150630.m3u8?cdn=wasusyt
iHOT-爱旅行,http://171.88.65.61:35455/itv/6000000006000250630.m3u8?cdn=wasusyt
iHOT-爱奇谈,http://171.88.65.61:35455/itv/6000000006000270630.m3u8?cdn=wasusyt
iHOT-爱赛车,http://171.88.65.61:35455/itv/6000000006000240630.m3u8?cdn=wasusyt
iHOT-爱体育,http://171.88.65.61:35455/itv/6000000006000290630.m3u8?cdn=wasusyt
iHOT-爱玩具,http://171.88.65.61:35455/itv/6000000006000220630.m3u8?cdn=wasusyt
iHOT-爱喜剧,http://171.88.65.61:35455/itv/6000000006000010630.m3u8?cdn=wasusyt
iHOT-爱悬疑,http://171.88.65.61:35455/itv/6000000006000050630.m3u8?cdn=wasusyt
iHOT-爱幼教,http://171.88.65.61:35455/itv/6000000006000180630.m3u8?cdn=wasusyt
iHOT-爱院线,http://171.88.65.61:35455/itv/6000000006000030630.m3u8?cdn=wasusyt
咪咕视频_8M1080_咪视通-1,http://171.88.65.61:35455/itv/3000000001000005308.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-2,http://171.88.65.61:35455/itv/3000000001000005969.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-3,http://171.88.65.61:35455/itv/3000000001000007218.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-4,http://171.88.65.61:35455/itv/3000000001000008001.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-5,http://171.88.65.61:35455/itv/3000000001000008176.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-6,http://171.88.65.61:35455/itv/3000000001000008379.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-7,http://171.88.65.61:35455/itv/3000000001000010129.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-8,http://171.88.65.61:35455/itv/3000000001000010948.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-9,http://171.88.65.61:35455/itv/3000000001000028638.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-10,http://171.88.65.61:35455/itv/3000000001000031494.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-11,http://171.88.65.61:35455/itv/3000000010000005837.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-12,http://171.88.65.61:35455/itv/3000000020000011518.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-13,http://171.88.65.61:35455/itv/3000000020000011519.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-14,http://171.88.65.61:35455/itv/3000000020000011520.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-15,http://171.88.65.61:35455/itv/3000000020000011521.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-16,http://171.88.65.61:35455/itv/3000000020000011522.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-17,http://171.88.65.61:35455/itv/3000000020000011523.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-18,http://171.88.65.61:35455/itv/3000000020000011524.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-19,http://171.88.65.61:35455/itv/3000000020000011525.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-20,http://171.88.65.61:35455/itv/3000000020000011528.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-21,http://171.88.65.61:35455/itv/3000000020000011529.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-22,http://171.88.65.61:35455/itv/3000000020000011530.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-23,http://171.88.65.61:35455/itv/3000000020000011531.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-24,http://171.88.65.61:35455/itv/3000000010000000097.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-25,http://171.88.65.61:35455/itv/3000000010000002019.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-26,http://171.88.65.61:35455/itv/3000000010000002809.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-27,http://171.88.65.61:35455/itv/3000000010000003915.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-28,http://171.88.65.61:35455/itv/3000000010000004193.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-29,http://171.88.65.61:35455/itv/3000000010000006077.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-30,http://171.88.65.61:35455/itv/3000000010000006658.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-31,http://171.88.65.61:35455/itv/3000000010000009788.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-32,http://171.88.65.61:35455/itv/3000000010000010833.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-33,http://171.88.65.61:35455/itv/3000000010000011297.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-34,http://171.88.65.61:35455/itv/3000000010000011518.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-35,http://171.88.65.61:35455/itv/3000000010000012558.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-36,http://171.88.65.61:35455/itv/3000000010000012616.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-37,http://171.88.65.61:35455/itv/3000000010000015470.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-38,http://171.88.65.61:35455/itv/3000000010000015560.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-39,http://171.88.65.61:35455/itv/3000000010000017678.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-40,http://171.88.65.61:35455/itv/3000000010000019839.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-41,http://171.88.65.61:35455/itv/3000000010000021904.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-42,http://171.88.65.61:35455/itv/3000000010000023434.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-43,http://171.88.65.61:35455/itv/3000000010000025380.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-44,http://171.88.65.61:35455/itv/3000000010000027691.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-45,http://171.88.65.61:35455/itv/3000000010000031669.m3u8?cdn=FifastbLive
咪咕视频_8M1080_湖南bblive-1,http://171.88.65.61:35455/itv/2000000003000000060.m3u8?cdn=hnbblive
咪咕视频_8M1080_湖南bblive-2,http://171.88.65.61:35455/itv/2000000003000000061.m3u8?cdn=hnbblive
咪咕视频_8M1080_湖南bblive-3,http://171.88.65.61:35455/itv/2000000003000000062.m3u8?cdn=hnbblive
咪咕视频_8M1080_湖南bblive-4,http://171.88.65.61:35455/itv/2000000003000000063.m3u8?cdn=hnbblive
咪咕视频_8M1080_湖南bblive-5,http://171.88.65.61:35455/itv/2000000003000000064.m3u8?cdn=hnbblive
咪咕视频_8M1080_湖南bblive-6,http://171.88.65.61:35455/itv/2000000003000000065.m3u8?cdn=hnbblive
咪咕视频_8M1080_易视腾-1,http://171.88.65.61:35455/itv/1000000006000270001.m3u8?cdn=ystenlive
咪咕视频_8M1080_易视腾-2,http://171.88.65.61:35455/itv/1000000006000270002.m3u8?cdn=ystenlive
咪咕视频_8M1080_易视腾-3,http://171.88.65.61:35455/itv/1000000006000270003.m3u8?cdn=ystenlive
咪咕视频_8M1080_易视腾-4,http://171.88.65.61:35455/itv/1000000006000270004.m3u8?cdn=ystenlive
咪咕视频_8M1080_易视腾-5,http://171.88.65.61:35455/itv/1000000006000270005.m3u8?cdn=ystenlive
咪咕视频_8M1080_易视腾-6,http://171.88.65.61:35455/itv/1000000006000270006.m3u8?cdn=ystenlive


